"Exercise Name";"Type of Activity";"Type of Equipment";"Body Part";"Type";"Muscle Groups Activated";"Instructions"
"Machine Preacher Curl";"Strength";"Machine";"Upper Body";"Pull";"Biceps";"Sit at a preacher curl machine with your arms on the pad. Curl the handle towards your shoulders, then lower it back down."
"Hanging Knee Raises";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Hang from a pull-up bar and tuck your knees towards your chest, then slowly lower them back down."
"Decline Dumbbell Press";"Strength";"Dumbbells";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on a decline bench with a dumbbell in each hand. Lower the weights to your chest, then press them back up."
"Glute Kickback";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Hamstrings";"Start on all fours and kick one leg straight back, squeezing your glutes at the top of the movement."
"Machine Chest Press";"Strength";"Machine";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Sit at a chest press machine with your feet flat on the floor. Press the handles forward until your arms are fully extended."
"Single-Leg Squat";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand on one leg with the other leg extended in front of you. Lower your hips until your thigh is parallel to the floor, then push back up."
"Push-Up to Row";"Strength";"Dumbbells";"Upper Body";"Push/Pull";"Pectorals, Triceps, Latissimus Dorsi";"Start in a high plank position with a dumbbell in each hand. Perform a push-up, then row each dumbbell towards your torso."
"Smith Machine Row";"Strength";"Smith Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Stand with feet shoulder-width apart, bend forward at the hips, and row the bar towards your torso."
"Lat Pullover";"Strength";"Dumbbell";"Upper Body";"Pull";"Latissimus Dorsi, Pectorals, Triceps";"Lie on a bench holding a dumbbell over your chest. Lower the weight behind your head, then pull it back up."
"Smith Machine Shoulder Press";"Strength";"Smith Machine";"Upper Body";"Push";"Deltoids, Triceps";"Sit on a bench under a Smith machine bar. Press the bar overhead until your arms are fully extended."
"Cable Woodchopper";"Strength";"Cable Machine";"Core";"Twist";"Obliques, Rectus Abdominis";"Stand sideways to a cable machine with the handle at the high pulley. Pull the handle down across your body in a chopping motion."
"Machine Back Extension";"Strength";"Machine";"Lower Body";"Pull";"Lower Back, Glutes, Hamstrings";"Sit on a back extension machine with your feet braced. Extend your hips to lift your torso, then lower back down."
"Prone Leg Curl";"Strength";"Machine";"Lower Body";"Pull";"Hamstrings";"Lie face down on a leg curl machine and curl the pad towards your glutes, then return to the starting position."
"Seated Dumbbell Press";"Strength";"Dumbbells";"Upper Body";"Push";"Deltoids, Triceps";"Sit on a bench with a dumbbell in each hand at shoulder height. Press the weights overhead until your arms are fully extended."
"Weighted Plank";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Obliques, Shoulders";"Start in a forearm plank position with a weight plate on your back. Hold the position while keeping your body straight."
"Step Mill";"Cardio";"Machine";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings, Calves";"Step continuously on a revolving staircase, keeping a steady pace."
"Standing Resistance Band Row";"Strength";"Resistance Band";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Attach a resistance band to a sturdy anchor. Pull the handles towards your torso, keeping your elbows close to your body."
"Dumbbell Lunge";"Strength";"Dumbbells";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Hold a dumbbell in each hand and step forward into a lunge. Push back to the starting position and repeat on the other leg."
"Reverse Curl";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Stand with feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. Curl the weights up towards your shoulders."
"Banded Pull-Up";"Strength";"Resistance Band";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Loop a resistance band around a pull-up bar and place your knees in the band. Pull your body up until your chin is above the bar."
"Cable Face Pull";"Strength";"Cable Machine";"Upper Body";"Pull";"Rear Deltoids, Trapezius, Rhomboids";"Attach a rope handle to a high cable pulley. Pull the handle towards your face, leading with your elbows."
"Turkish Get-Up";"Strength";"Kettlebell";"Full Body";"Hold";"Core, Shoulders, Glutes";"Lie on your back holding a kettlebell overhead. Stand up while keeping the kettlebell above your head, then return to lying."
"Weighted Russian Twists";"Strength";"Medicine Ball";"Core";"Twist";"Obliques, Rectus Abdominis";"Sit on the floor with knees bent, holding a medicine ball. Twist your torso to each side, tapping the ball on the floor."
"Cable Front Raise";"Strength";"Cable Machine";"Upper Body";"Push";"Deltoids";"Stand facing a cable machine with the handle at the low pulley. Raise the handle in front of you until your arm is parallel to the floor."
"Reverse Crunch";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Lie on your back with legs extended towards the ceiling. Lift your hips off the ground, bringing your knees towards your chest."
"Cable Tricep Kickback";"Strength";"Cable Machine";"Upper Body";"Push";"Triceps";"Stand facing a cable machine with a handle attached to the low pulley. Extend your arm straight back, then return to the starting position."
"Copenhagen Plank";"Strength";"Bodyweight";"Core";"Hold";"Obliques, Adductors";"Lie on your side with your top leg on a bench and your bottom leg extended. Lift your hips to form a straight line from head to heels."
"Smith Machine Incline Press";"Strength";"Smith Machine";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on an incline bench under a Smith machine bar. Press the bar up and together over your chest, then lower it back down."
"Cable Lat Pulldown";"Strength";"Cable Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a lat pulldown machine, grasp the bar with a wide grip, and pull it down to your chest. Slowly return to the starting position."
"Cable Side Lunge";"Strength";"Cable Machine";"Lower Body";"Push";"Quadriceps, Glutes, Adductors";"Attach a handle to a low pulley and stand to the side of the cable machine. Step out into a side lunge, then return to the starting position."
"Dumbbell Bent-Over Row";"Strength";"Dumbbells";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Stand with feet shoulder-width apart, bend forward at the hips, and row the dumbbells towards your torso."
"Lateral Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Adductors";"Step out to the side, bending one knee while keeping the other leg straight. Push back to the starting position."
"Seated Machine Row";"Strength";"Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a rowing machine with feet braced. Pull the handles towards your torso, then slowly return to the starting position."
"Ab Wheel Rollout";"Strength";"Ab Wheel";"Core";"Push";"Rectus Abdominis, Hip Flexors";"Kneel on the floor with an ab wheel in front of you. Roll the wheel forward while keeping your core tight, then roll back."
"Decline Russian Twist";"Strength";"Bodyweight";"Core";"Twist";"Obliques, Rectus Abdominis";"Sit on a decline bench with your knees bent. Twist your torso to each side, tapping your hands on the floor."
"Deadlift High Pull";"Strength";"Barbell";"Full Body";"Pull";"Glutes, Hamstrings, Shoulders";"Start with a barbell on the ground, perform a deadlift, and as you stand up, pull the barbell up towards your chest."
"Smith Machine Incline Press";"Strength";"Smith Machine";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on an incline bench under a Smith machine bar. Press the bar up and together over your chest, then lower it back down."
"Reverse Grip Lat Pulldown";"Strength";"Cable Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a lat pulldown machine with a reverse grip. Pull the bar down to your chest, then slowly return to the starting position."
"Cable Lateral Lunge";"Strength";"Cable Machine";"Lower Body";"Push";"Quadriceps, Glutes, Adductors";"Attach a handle to a low pulley and stand to the side of the cable machine. Step out into a side lunge, then return to the starting position."
"Pike Push-Up";"Strength";"Bodyweight";"Upper Body";"Push";"Deltoids, Triceps";"Start in a downward dog position with your hips raised. Lower your head towards the floor, then push back up."
"One-Arm Dumbbell Snatch";"Strength";"Dumbbell";"Full Body";"Push";"Glutes, Shoulders, Triceps";"Start with a dumbbell between your feet. Explosively pull the dumbbell up and overhead in one motion."
"Cable Front Squat";"Strength";"Cable Machine";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Attach a rope handle to a low pulley and stand facing the cable machine. Squat down while holding the rope at chest height."
"Tire Flip";"Strength";"Tire";"Full Body";"Push";"Glutes, Quadriceps, Hamstrings, Shoulders";"Squat down and grab the edge of a tire. Lift the tire and flip it forward."
"Smith Machine Calf Raise";"Strength";"Smith Machine";"Lower Body";"Push";"Calves";"Stand under the bar of a Smith machine with the balls of your feet on a step. Raise your heels as high as possible, then lower them back down."
"Pistol Squat to Box";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand on one leg in front of a box. Lower your hips until you sit on the box, then stand back up."
"Standing Chest Fly";"Strength";"Cable Machine";"Upper Body";"Push";"Pectorals, Deltoids";"Stand in the middle of a cable machine with handles in each hand. Bring the handles together in front of your chest, then return to the starting position."
"Sled Drag";"Cardio/Strength";"Sled";"Full Body";"Pull";"Glutes, Quadriceps, Hamstrings, Shoulders";"Attach a harness to a sled and drag it across a flat surface, walking or running backwards."
"Cable Hammer Curl";"Strength";"Cable Machine";"Upper Body";"Pull";"Biceps, Forearms";"Stand facing a cable machine with the handle attached to the low pulley. Curl the handle towards your shoulders with a neutral grip."
"Cable Tricep Overhead Extension";"Strength";"Cable Machine";"Upper Body";"Push";"Triceps";"Stand facing away from a cable machine with the handle attached to the low pulley. Extend the handle overhead until your arms are fully extended."
"Seated Cable Row";"Strength";"Cable Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a cable row machine with feet braced. Pull the handle towards your torso, then slowly return to the starting position."
"Lying Dumbbell Tricep Extension";"Strength";"Dumbbells";"Upper Body";"Push";"Triceps";"Lie on a bench with a dumbbell in each hand. Lower the weights towards your head by bending your elbows, then extend your arms back to the starting position."
"Weighted Pull-Up";"Strength";"Bodyweight/Dumbbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Hang a weight from your waist and perform a pull-up, bringing your chin above the bar."
"Incline Dumbbell Row";"Strength";"Dumbbells";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Lie face down on an incline bench with a dumbbell in each hand. Row the weights towards your torso, then lower them back down."
"Machine Lat Pulldown";"Strength";"Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a lat pulldown machine with a wide grip. Pull the bar down to your chest, then slowly return to the starting position."
"One-Arm Cable Row";"Strength";"Cable Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Stand facing a cable machine with the handle attached to the low pulley. Row the handle towards your torso with one hand."
"Face Pull";"Strength";"Cable Machine";"Upper Body";"Pull";"Rear Deltoids, Trapezius, Rhomboids";"Attach a rope handle to a high cable pulley. Pull the handle towards your face, leading with your elbows."
"Dumbbell Bench Press";"Strength";"Dumbbells";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on a bench with a dumbbell in each hand. Press the weights up and together over your chest, then lower them back down."
